"","object","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","competition"
"1","Answer.DW_strength",0,0.610423656178657,17.0918623730024,28,0.184876354437931,0.677277681317208,0.53932891329676,"control"
"2","Answer.DW_strength",1,0.575991745727089,12.671818405996,22,0.186715379374233,0.650339894877026,0.502829502787022,"partner"
"3","Answer.DW_strength",2,0.582442170830095,11.6488434166019,20,0.229101311894485,0.682030880060231,0.486166833071269,"opponent"
"4","Answer.expectation_of_winning",0,0.703399318382351,19.6951809147058,28,0.170470678928972,0.764812855045023,0.64172013813283,"control"
"5","Answer.expectation_of_winning",1,0.670448499439732,14.7498669876741,22,0.223920316189954,0.757934141145497,0.583854450651613,"partner"
"6","Answer.expectation_of_winning",2,0.744876876589049,14.897537531781,20,0.184263686668084,0.823861489051818,0.670351889029164,"opponent"
"7","Answer.strength_of_average_player",0,0.615388667920416,17.2308827017717,28,0.160913760946935,0.667222272697602,0.550894671065486,"control"
"8","Answer.strength_of_average_player",1,0.640614656342362,14.093522439532,22,0.206268888729054,0.719419493645927,0.558001401495688,"partner"
"9","Answer.strength_of_average_player",2,0.675088959988379,13.5017791997676,20,0.125774855443093,0.727142891305502,0.624567244754648,"opponent"
"10","Answer.role_of_luck_in_game",0,0.429540415505392,12.027131634151,28,0.269738443730038,0.52861732133364,0.332948455729938,"control"
"11","Answer.role_of_luck_in_game",1,0.337671053064284,7.42876316741426,22,0.249895879730421,0.443432336942532,0.231970290603146,"partner"
"12","Answer.role_of_luck_in_game",2,0.450344022996601,9.00688045993203,20,0.278129988359871,0.568092377117398,0.333641034252134,"opponent"
